Probe Name	Annotation	Accession #	NS Probe ID	Class Name	Analyte Type	Species Name	% Samples above Threshold	Positive Flag	Avg Count	20200717_Qi 2 of 4_OV2-14_02.RCC	20200717_QL-TGFB_OV2-10_10.RCC	20200717_QL-TGFB_OV2-11_11.RCC	20200717_QL-TGFB_OV2-12_12.RCC	20200717_QL-TGFB_OV2-1_01.RCC	20200717_QL-TGFB_OV2-2_02.RCC	20200717_QL-TGFB_OV2-3_03.RCC	20200717_QL-TGFB_OV2-4_04.RCC	20200717_QL-TGFB_OV2-5_05.RCC	20200717_QL-TGFB_OV2-6_06.RCC	20200717_QL-TGFB_OV2-7_07.RCC	20200717_QL-TGFB_OV2-8_08.RCC	20200717_QL-TGFB_OV2-9_09.RCC	20200717_Qi 2 of 4_OV1-5_09.RCC	20200717_Qi 2 of 4_OV2-13_01.RCC	20200717_Qi 2 of 4_OV2-15_03.RCC	20200717_Qi 2 of 4_OV2-16_04.RCC	20200717_Qi 2 of 4_OV2-17_05.RCC	20200717_Qi 2 of 4_OV2-18_06.RCC	20200717_Qi 2 of 4_OV2-19_07.RCC	20200717_Qi 2 of 4_OV2-20_08.RCC	20200717_Qi 2 of 4_OV2-22_10.RCC	20200717_Qi 2 of 4_OV2-23_11.RCC	20200717_Qi 2 of 4_OV2-24_12.RCC	20200721_Qi 3 of 4_OV-10_10.RCC	20200721_Qi 3 of 4_OV-11_11.RCC	20200721_Qi 3 of 4_OV-12_12.RCC	20200721_Qi 3 of 4_OV-1_01.RCC	20200721_Qi 3 of 4_OV-2_02.RCC	20200721_Qi 3 of 4_OV-3_03.RCC	20200721_Qi 3 of 4_OV-4_04.RCC	20200721_Qi 3 of 4_OV-5_05.RCC	20200721_Qi 3 of 4_OV-6_06.RCC	20200721_Qi 3 of 4_OV-7_07.RCC	20200721_Qi 3 of 4_OV-8_08.RCC	20200721_Qi 3 of 4_OV-9_09.RCC	20200721_Qi 4 of 4_OV-10-2_12.RCC	20200721_Qi 4 of 4_OV-13_01.RCC	20200721_Qi 4 of 4_OV-14_02.RCC	20200721_Qi 4 of 4_OV-15_03.RCC	20200721_Qi 4 of 4_OV-16_04.RCC	20200721_Qi 4 of 4_OV-17_05.RCC	20200721_Qi 4 of 4_OV-18_06.RCC	20200721_Qi 4 of 4_OV-5-2_07.RCC	20200721_Qi 4 of 4_OV-6-2_08.RCC	20200721_Qi 4 of 4_OV-7-2_09.RCC	20200721_Qi 4 of 4_OV-8-2_10.RCC	20200721_Qi 4 of 4_OV-9-2_11.RCC
JAG1		NM_000214.2		Endogenous	mRNA		100,00	false	87,48	137,92	26,94	46,84	107,00	44,41	80,88	82,95	51,98	72,86	171,59	64,92	31,13	51,01	59,18	66,00	71,27	82,91	43,02	21,99	63,90	96,70	50,86	39,20	66,57	82,19	105,36	110,06	129,15	70,19	102,60	100,39	88,59	57,83	263,75	222,22	79,67	72,22	63,03	74,29	66,06	85,10	99,30	33,74	61,97	50,45	249,04	221,11	78,62
KLF4		NM_004235.4		Endogenous	mRNA		85,42	false	55,73	4,39	153,32	40,52	120,72	15,34	92,44	73,02	24,53	137,15	21,13	43,97	21,79	23,18	8,85	11,31	209,45	27,82	50,46	34,65	24,85	20,67	74,60	30,01	84,60	15,98	4,62	6,41	31,84	72,84	32,89	19,12	58,56	7,01	26,96	4,00	216,05	22,66	7,88	16,78	163,21	313,82	4,62	19,28	5,04	11,64	25,29	8,07	231,83
LAMB3		NM_000228.2		Endogenous	mRNA		83,33	false	60,26	4,39	170,59	182,52	46,64	66,21	3,01	97,84	63,66	78,57	15,64	98,93	31,13	204,02	11,40	5,76	30,54	124,09	54,60	13,99	81,65	87,34	16,95	67,99	31,90	121,00	71,57	4,08	33,61	29,14	107,86	4,53	10,51	14,02	153,56	51,28	6,75	145,86	58,30	40,74	124,35	10,64	57,93	27,31	5,04	14,23	184,83	22,43	3,46
LAMC2		NM_005562.2		Endogenous	mRNA		97,92	false	319,40	118,22	802,53	169,51	142,67	100,11	80,88	42,54	125,56	127,15	67,26	206,79	133,84	51,01	51,58	49,03	43,63	232,59	236,60	5,88	63,90	195,35	33,91	39,81	73,50	509,12	546,69	28,85	182,22	415,84	299,91	52,58	424,95	173,50	3374,79	81,67	79,67	631,57	207,99	162,96	202,06	51,42	135,17	170,31	58,18	177,23	3943,74	120,17	106,84
LARP6		NM_018357.2		Endogenous	mRNA		100,00	false	56,29	98,51	41,44	25,65	35,67	14,53	167,54	40,41	30,95	28,57	27,16	36,41	43,58	78,83	22,80	66,00	59,63	80,68	38,05	93,28	33,72	33,92	57,64	31,85	36,06	29,68	77,53	11,75	47,77	209,24	85,50	35,85	175,69	22,78	21,10	20,89	113,43	19,83	48,85	79,08	31,09	111,70	44,14	75,51	22,76	24,58	23,35	24,03	122,97
LIG1		NM_000234.2		Endogenous	mRNA		100,00	false	76,84	216,73	82,19	85,50	104,26	187,31	52,00	80,11	90,52	114,29	81,92	177,94	132,28	92,74	45,61	81,08	90,18	106,84	126,57	67,96	172,17	110,74	61,03	77,18	122,04	51,37	35,78	38,47	26,54	17,22	56,56	21,51	16,52	26,29	76,19	87,37	67,52	43,90	80,36	62,31	50,52	58,51	27,58	25,71	43,00	31,05	62,26	86,52	36,29
LIG3		NM_013975.3		Endogenous	mRNA		100,00	false	79,30	216,73	31,77	39,77	46,64	61,36	75,10	57,43	58,40	50,00	71,57	118,17	44,35	76,97	54,84	73,54	46,54	58,98	58,74	66,63	85,20	85,00	54,25	65,54	72,11	51,37	117,29	81,21	122,07	91,38	68,40	109,95	144,15	82,37	79,71	87,37	124,23	69,39	63,03	98,26	77,72	113,47	24,83	70,69	63,24	75,03	103,12	97,74	120,95
LIG4		NM_002312.3		Endogenous	mRNA		91,67	false	55,34	4,39	66,30	44,61	11,16	14,53	80,88	71,61	37,38	30,00	33,20	44,66	37,35	14,09	51,03	41,48	36,36	22,26	54,60	40,65	3,46	51,08	40,69	46,55	22,19	95,89	115,30	51,29	111,46	58,27	59,19	50,19	63,07	112,16	33,99	36,09	76,97	87,80	40,97	74,29	93,26	104,61	93,79	81,94	51,85	95,73	35,02	56,08	76,60
LIPG		NM_006033.2		Endogenous	mRNA		54,17	false	15,48	4,39	13,51	18,21	11,16	13,12	3,01	46,08	18,69	32,86	15,64	93,43	13,41	14,09	8,85	11,31	21,82	10,57	23,16	5,88	7,10	24,18	3,16	11,64	44,38	7,99	4,62	32,06	2,41	11,92	13,15	4,53	9,01	12,27	23,44	4,00	6,75	8,74	4,00	6,64	46,63	7,09	4,62	4,82	5,04	2,41	33,08	8,07	10,08
MAFF		NM_001161572.1		Endogenous	mRNA		100,00	false	146,57	354,65	338,42	137,91	337,48	55,71	196,43	69,48	84,09	114,29	72,00	77,29	36,57	135,40	65,69	52,80	103,27	108,51	84,38	29,32	200,57	42,89	166,15	45,94	84,60	53,65	113,31	19,23	38,92	148,32	44,72	167,31	136,64	91,13	167,63	131,05	472,61	70,80	88,24	115,03	229,27	891,81	154,47	117,29	34,15	63,39	184,83	157,02	350,77
MEN1		NM_130802.2		Endogenous	mRNA		100,00	false	133,07	236,43	142,96	93,68	233,22	187,31	150,21	107,76	131,40	115,72	340,60	198,55	111,27	281,93	74,92	164,05	114,90	186,97	172,07	165,25	159,75	173,91	125,46	178,25	117,88	110,73	127,23	111,13	65,46	143,03	105,23	52,58	166,68	64,84	131,29	148,15	137,73	75,05	97,69	52,72	151,55	67,37	41,38	67,48	89,79	60,80	103,12	132,99	118,94
MMD		NM_012329.2		Endogenous	mRNA		100,00	false	198,08	137,92	75,28	128,99	178,34	183,27	46,22	188,58	98,69	204,29	106,49	81,07	122,17	392,28	116,73	101,82	123,63	80,13	223,36	45,31	165,07	71,36	237,36	92,49	141,46	236,29	745,48	52,36	560,82	581,38	89,45	186,43	717,76	147,21	348,15	43,68	478,01	194,00	163,87	57,52	174,86	60,28	74,48	213,69	103,71	155,24	346,32	43,26	391,09
MRE11A		NM_005590.3		Endogenous	mRNA		97,92	false	58,05	4,39	58,70	64,31	38,41	72,66	80,88	53,17	44,38	44,29	61,22	63,55	49,80	48,22	39,09	92,40	74,18	104,05	95,96	53,31	65,67	65,51	37,30	67,38	62,41	54,79	25,84	20,30	84,92	95,35	119,70	35,85	99,10	31,55	80,88	56,98	71,57	69,39	39,39	35,95	38,86	60,28	13,79	56,23	51,85	32,34	56,42	51,27	62,49
MSH3		NM_002439.4		Endogenous	mRNA		100,00	false	131,09	256,14	89,78	165,42	90,54	89,62	98,21	99,26	87,60	98,58	136,67	90,34	84,82	85,32	120,53	135,77	104,72	108,51	148,91	114,61	78,10	63,56	139,02	93,10	54,09	94,75	131,20	259,66	102,61	107,27	201,26	129,07	112,62	184,01	180,52	191,83	126,93	73,64	85,09	100,65	116,58	164,89	242,75	245,83	111,29	169,47	223,74	168,24	135,07
MSH6		NM_000179.2		Endogenous	mRNA		97,92	false	65,59	4,39	59,40	49,44	60,36	81,55	57,77	27,65	87,01	45,72	31,47	60,80	59,92	49,15	64,07	77,31	24,73	69,56	52,95	140,59	83,42	93,58	44,08	63,70	88,76	51,37	109,34	67,32	42,46	112,57	59,19	81,27	81,09	49,07	71,50	36,09	135,03	50,98	66,18	35,95	66,06	108,15	46,89	49,81	51,85	62,10	44,75	83,32	108,86
MTH1		NM_002452.3		Endogenous	mRNA		91,67	false	37,03	4,39	24,86	37,54	11,16	20,99	3,01	34,03	31,54	38,57	35,35	40,19	28,01	28,75	52,12	39,60	30,54	32,27	28,95	5,88	12,42	58,10	37,30	45,94	36,06	25,11	49,70	49,15	67,23	37,08	23,68	16,73	30,03	45,57	33,99	34,19	103,97	26,91	26,79	35,95	46,63	17,73	68,96	33,74	54,38	51,75	35,02	52,87	92,73
MTOR		NM_004958.3		Endogenous	mRNA		97,92	false	66,59	4,39	104,29	54,27	54,87	83,97	23,11	82,24	78,25	70,00	137,96	84,50	75,48	68,63	91,75	103,71	69,82	92,37	124,09	56,64	49,70	143,49	44,08	80,24	63,79	81,05	25,84	80,14	77,84	67,54	60,51	31,07	52,56	103,40	26,96	43,68	63,46	69,39	56,73	43,14	46,63	46,10	52,41	59,45	88,53	78,91	19,46	33,65	46,37
MYC		NM_002467.3		Endogenous	mRNA		100,00	false	255,18	374,35	156,78	246,08	285,35	134,02	179,10	202,06	196,81	242,87	110,37	85,19	239,66	309,75	426,20	99,94	151,27	509,70	292,86	189,23	106,50	274,12	196,67	112,09	278,75	299,08	308,13	56,63	139,76	279,43	218,36	205,56	349,87	401,32	201,62	406,46	411,84	236,48	116,60	220,48	474,07	445,02	328,26	56,23	451,50	336,35	155,65	349,29	401,16
NABP2		NM_024068.4		Endogenous	mRNA		91,67	false	49,15	4,39	41,44	30,11	11,16	20,18	3,01	31,19	57,82	24,29	39,66	61,83	35,79	74,19	65,69	22,63	20,36	50,08	37,23	33,32	21,30	68,63	3,16	31,85	27,74	43,38	51,69	72,66	155,68	74,16	106,55	40,63	57,06	59,59	43,37	20,89	82,37	46,73	23,64	31,15	54,40	19,50	80,00	136,57	51,85	64,68	66,15	46,47	112,89
NBN		NM_002485.4		Endogenous	mRNA		100,00	false	309,31	197,03	283,85	171,74	167,37	171,16	63,55	200,64	231,84	182,86	263,86	214,35	194,53	291,20	288,29	230,05	190,54	624,33	259,76	164,58	319,49	235,51	189,89	145,17	535,31	361,86	345,90	511,83	352,06	576,08	224,93	822,22	704,24	354,01	464,19	283,00	189,04	331,36	219,02	464,92	330,30	326,23	317,22	321,34	259,27	275,55	507,80	336,48	151,19
NKX3-1		NR_046072.1		Endogenous	mRNA		12,50	false	8,06	4,39	13,51	11,42	11,16	13,12	40,44	15,60	13,85	10,63	15,64	14,28	13,41	14,09	8,85	5,76	7,94	6,57	6,28	8,00	3,46	7,90	3,16	6,47	7,19	6,77	4,62	4,08	2,41	5,12	6,36	4,53	3,82	5,26	3,11	4,00	2,41	8,74	4,00	6,64	15,54	7,09	4,62	2,41	5,04	2,41	3,11	8,07	3,46
NTHL1		NM_002528.7		Endogenous	mRNA		93,75	false	29,12	4,39	31,77	46,47	32,92	48,44	34,66	25,52	46,14	18,57	35,35	20,27	14,78	56,57	23,89	26,40	23,27	30,05	16,55	8,66	42,60	10,14	3,16	18,38	19,42	15,98	37,77	28,85	95,53	10,59	11,84	54,97	18,02	17,53	21,10	28,49	47,26	28,32	4,00	62,31	15,54	42,55	35,86	24,10	13,91	23,29	35,02	40,06	46,37
OGG1		NM_002542.5		Endogenous	mRNA		77,08	false	17,24	4,39	22,10	13,75	46,64	30,68	34,66	34,03	14,02	18,57	25,44	14,28	17,90	30,60	8,85	37,71	36,36	21,14	15,72	17,99	35,50	15,21	54,25	6,47	29,12	6,77	13,92	7,48	5,31	7,95	6,36	19,12	3,82	5,26	4,69	17,09	13,50	14,16	9,45	6,64	19,43	14,18	4,62	2,41	10,12	9,06	3,11	25,64	12,10
PALB2		NM_024675.3		Endogenous	mRNA		93,75	false	27,03	4,39	15,19	23,42	38,41	29,87	46,22	40,41	18,69	21,43	15,64	27,48	21,79	14,09	42,35	20,74	24,73	17,25	21,51	18,66	12,42	37,82	13,56	18,99	11,09	25,11	17,89	33,12	10,61	35,76	34,20	26,29	25,53	38,56	18,76	45,58	29,71	25,49	40,97	33,55	38,86	17,73	13,79	44,99	39,21	31,05	21,40	60,89	32,25
PARP1		NM_001618.3		Endogenous	mRNA		100,00	false	311,75	216,73	232,06	134,94	109,75	235,75	98,21	138,25	320,61	147,15	168,58	279,62	211,65	613,93	419,14	160,28	123,63	255,41	163,80	105,94	228,97	305,31	115,29	188,66	212,18	311,64	588,43	352,62	543,12	336,38	389,36	370,48	318,34	429,36	294,22	351,38	491,51	273,30	354,53	584,75	306,98	287,22	686,86	430,60	414,83	442,43	315,19	400,57	503,98
PARP2		NM_005484.3		Endogenous	mRNA		97,92	false	92,40	4,39	52,49	81,04	43,90	56,52	75,10	45,37	74,17	44,29	64,67	39,16	75,48	68,63	140,07	37,71	40,73	50,08	83,55	74,63	62,12	108,01	40,69	63,09	95,69	106,16	151,08	139,98	159,22	132,43	107,86	93,22	117,12	131,44	111,36	151,95	143,13	113,29	108,72	210,89	73,83	120,56	49,65	75,51	135,32	91,85	110,90	163,43	114,91
PARP3		NM_005485.4		Endogenous	mRNA		77,08	false	19,31	4,39	30,39	27,51	11,16	13,12	28,89	19,85	16,94	20,00	15,64	30,23	13,41	14,09	16,83	24,51	16,00	32,27	24,82	11,33	12,42	27,68	33,91	14,09	15,25	58,22	4,62	6,41	5,31	5,12	39,46	4,53	9,01	14,02	26,96	11,40	16,20	79,30	14,18	6,64	34,97	14,18	13,79	4,82	17,71	21,99	27,24	8,07	8,06
PARP4		NM_006437.3		Endogenous	mRNA		97,92	false	114,92	4,39	180,26	202,22	65,85	65,40	86,66	99,26	97,53	208,58	128,48	133,63	178,97	276,36	36,38	167,82	148,36	272,66	232,46	97,95	63,90	134,13	145,80	131,08	73,50	170,09	63,61	61,98	84,92	99,32	96,02	31,07	81,09	61,34	92,60	30,39	71,57	253,48	182,78	95,86	186,52	97,51	143,44	33,74	49,32	55,63	114,79	36,85	90,72
PCNA		NM_002592.2		Endogenous	mRNA		100,00	false	586,56	354,65	323,22	310,76	219,50	346,37	138,65	292,80	476,54	382,87	344,05	366,53	499,56	400,63	1516,39	226,28	242,90	580,37	365,66	130,60	248,49	355,22	186,49	535,96	350,86	318,48	467,17	836,67	1385,23	1340,22	564,31	509,11	1382,96	1125,11	479,43	698,96	667,05	348,35	872,94	1068,84	520,70	496,44	932,36	398,46	1472,13	1107,36	513,64	796,33	657,18
PDGFC		NM_016205.2		Endogenous	mRNA		95,83	false	196,35	4,39	84,95	58,73	43,90	25,84	34,66	41,12	67,16	40,00	62,52	42,60	30,35	14,09	82,52	88,63	91,63	110,73	82,73	363,14	35,50	77,99	37,30	93,10	52,70	458,89	240,54	99,37	603,27	267,51	394,62	224,68	262,78	92,88	241,48	108,26	893,90	521,12	189,08	426,58	205,95	292,54	234,47	419,35	61,97	75,03	272,38	129,78	1042,22
PLEK2		NM_016445.3		Endogenous	mRNA		75,00	false	17,17	4,39	13,51	26,39	11,16	15,34	52,00	24,10	35,62	28,57	15,64	14,43	13,41	17,62	11,40	5,76	11,64	22,81	17,37	5,88	3,46	7,90	20,34	20,21	7,19	10,27	17,89	25,65	12,38	33,11	15,78	16,73	30,03	19,28	15,24	4,00	4,05	22,66	9,45	33,55	27,20	21,28	16,55	14,46	17,71	16,82	15,56	8,07	10,08
PLXNA2		NM_025179.3		Endogenous	mRNA		85,42	false	32,88	4,39	31,77	17,47	52,13	42,79	69,33	20,56	35,62	35,72	75,88	21,98	18,68	112,21	8,85	54,68	55,27	63,99	30,61	75,29	37,27	36,65	27,13	21,44	22,19	33,10	25,84	14,96	2,41	5,12	18,42	31,07	10,51	8,76	72,68	22,79	37,81	21,24	20,48	6,64	27,20	37,23	4,62	17,67	5,04	3,88	97,28	51,27	30,24
POLA1		NM_016937.3		Endogenous	mRNA		95,83	false	75,64	4,39	42,82	53,16	11,16	47,64	80,88	50,34	68,33	61,43	40,53	55,99	38,91	23,18	187,31	30,17	26,18	62,32	53,77	59,97	40,82	47,18	20,34	91,27	65,18	125,57	107,35	67,32	203,45	79,46	99,97	35,85	91,60	147,21	45,72	55,08	130,98	75,05	83,51	146,19	69,95	74,47	82,75	88,37	182,12	128,07	66,15	56,08	124,99
POLD4		NM_021173.2		Endogenous	mRNA		100,00	false	104,85	98,51	135,37	57,99	170,11	71,05	34,66	53,88	60,15	92,86	90,11	84,50	63,03	72,34	65,15	77,31	93,09	85,69	98,45	39,31	60,35	55,76	108,51	52,06	91,53	114,15	103,37	117,54	148,61	174,81	106,55	43,02	133,64	73,61	426,68	136,75	87,77	113,29	85,09	21,57	124,35	92,20	71,72	120,50	58,18	55,63	470,84	120,17	120,95
POLE2		NM_001197331.1		Endogenous	mRNA		77,08	false	26,89	4,39	13,51	11,42	11,16	21,80	52,00	32,61	24,53	15,71	15,64	14,28	15,56	15,77	80,90	11,31	7,94	17,81	26,47	6,66	8,87	14,04	3,16	27,56	20,80	9,13	23,86	110,06	42,46	38,41	44,72	28,68	28,53	47,32	22,27	9,50	66,17	8,74	67,76	35,95	15,54	19,50	4,62	16,07	46,79	53,04	29,18	8,07	40,32
POLL		NM_001174085.1		Endogenous	mRNA		95,83	false	40,95	4,39	53,18	79,92	52,13	39,56	28,89	43,96	26,28	44,29	89,25	69,39	54,47	102,94	11,94	49,03	52,36	48,97	47,15	48,64	60,35	45,23	57,64	48,39	58,25	47,94	29,82	34,19	12,38	13,24	31,57	31,07	25,53	17,53	57,44	37,99	37,81	39,65	44,12	6,64	27,20	37,23	13,79	38,56	16,44	25,87	40,86	49,67	32,25
POLM		NM_001284331.1		Endogenous	mRNA		100,00	false	138,06	472,87	101,52	246,08	266,14	195,39	155,99	254,52	126,14	157,15	149,17	113,36	116,72	119,63	70,04	162,17	226,90	95,15	91,00	72,63	323,04	99,43	149,20	135,37	66,57	70,77	69,58	98,31	42,46	34,43	82,87	169,70	24,03	70,10	152,39	218,42	105,32	87,80	61,45	177,34	213,72	131,20	85,51	114,08	79,68	86,67	145,92	256,36	82,65
POLQ		NM_199420.3		Endogenous	mRNA		93,75	false	46,82	4,39	21,41	43,86	11,16	49,25	75,10	53,17	56,65	21,43	72,43	51,53	76,26	23,18	50,49	56,57	11,64	47,85	65,35	5,88	60,35	69,02	27,13	101,07	41,60	19,41	47,71	69,46	70,77	31,78	15,78	35,85	16,52	56,08	37,51	75,97	43,21	19,83	44,12	74,29	38,86	30,14	80,00	64,27	46,79	55,63	56,42	65,69	54,43
POLR2D		NM_004805.3		Endogenous	mRNA		97,92	false	162,00	4,39	122,24	101,11	87,80	114,65	63,55	107,05	138,41	81,43	114,25	106,49	108,94	102,01	340,41	128,22	84,36	159,14	120,78	111,94	145,55	120,10	71,21	154,97	59,63	187,21	302,17	339,80	270,68	319,16	181,53	126,68	289,81	255,87	150,04	49,38	141,78	232,24	193,81	313,94	163,21	124,11	190,33	141,39	380,68	285,90	167,32	75,31	145,15
POSTN		NM_006475.2		Endogenous	mRNA		87,50	false	402,66	4,39	2433,14	392,54	148,16	234,95	3,01	378,59	1442,46	1165,76	1478,81	14,28	520,57	44,51	189,48	759,91	558,52	178,62	755,30	13,33	7,10	1015,76	393,33	184,98	178,90	1027,37	4,62	11,75	19,46	215,87	509,06	4,53	222,23	162,98	206,31	4,00	344,33	887,88	50,42	150,98	1119,12	23,05	49,65	927,07	218,80	155,24	200,40	16,02	300,37
PRKDC		NM_006904.6		Endogenous	mRNA		100,00	false	999,58	1044,25	452,37	453,88	622,82	822,72	323,53	604,75	653,49	555,74	804,07	538,62	571,93	1323,38	1792,74	643,00	395,62	1186,34	383,03	265,86	1134,20	453,48	457,76	644,99	520,06	456,61	1405,48	1591,07	1496,69	1055,49	645,86	2478,62	932,49	1857,66	655,27	1346,63	1073,50	659,89	1279,47	2655,34	602,31	969,82	924,09	1850,92	1933,75	1883,55	741,28	1603,87	1231,72
PRP19		NM_014502.4		Endogenous	mRNA		97,92	false	31,23	4,39	31,08	14,87	87,80	46,02	98,21	33,32	35,62	27,14	36,65	35,04	24,90	59,35	29,32	33,94	40,73	51,75	30,61	22,65	42,60	29,24	16,95	38,59	45,76	22,83	11,93	19,23	30,08	25,16	30,25	23,90	22,52	12,27	11,72	13,30	12,15	66,56	22,06	19,17	27,20	21,28	33,10	43,38	21,50	16,82	13,62	38,45	24,19
PSCD1		NM_004762.2		Endogenous	mRNA		100,00	false	277,59	334,95	480,69	143,49	208,52	155,02	86,66	208,44	176,37	278,58	194,01	243,21	106,60	138,18	158,53	164,05	318,53	169,16	468,24	116,61	163,30	263,98	379,77	192,95	421,59	254,56	351,87	704,17	120,30	365,51	214,41	466,09	406,93	259,37	268,44	446,35	184,99	220,91	311,99	294,77	718,88	273,04	256,54	277,96	192,24	250,97	284,06	423,00	205,62
RAD17		NM_002873.1		Endogenous	mRNA		95,83	false	83,90	4,39	38,68	41,63	11,16	16,15	46,22	33,32	36,21	34,29	46,99	34,01	43,58	24,11	83,07	56,57	24,73	51,75	73,63	52,64	19,52	49,52	23,74	38,59	30,51	69,63	170,96	301,33	187,53	112,57	238,09	90,83	127,63	98,14	128,94	85,47	93,17	82,13	104,00	155,77	104,92	132,97	146,20	115,68	78,41	112,55	116,74	107,35	151,19
RAD23B		NM_002874.4		Endogenous	mRNA		100,00	false	365,14	177,33	457,90	614,84	293,58	411,76	231,09	327,54	534,94	461,45	420,79	312,59	296,47	279,14	462,03	386,56	376,71	442,37	444,25	391,13	440,19	460,89	413,68	463,07	515,90	471,45	230,60	243,63	123,84	598,60	286,76	270,09	609,64	511,73	331,74	237,42	303,82	455,98	159,15	186,93	353,61	297,86	190,33	329,37	419,88	411,38	350,21	264,37	272,15
RAD51D		NM_002878.3		Endogenous	mRNA		100,00	false	42,97	197,03	29,01	31,97	76,82	45,21	92,44	53,17	28,62	78,57	52,17	62,18	37,35	93,67	17,92	50,91	74,18	33,94	49,64	55,30	46,15	37,04	67,82	25,73	31,90	30,82	35,78	21,37	10,61	21,19	36,83	45,41	16,52	17,53	39,86	43,68	27,01	26,91	36,24	31,15	38,86	46,10	13,79	25,71	21,50	25,87	21,40	33,65	26,21
RBBP8		NM_203291.1		Endogenous	mRNA		97,92	false	90,17	4,39	46,27	116,72	60,36	79,12	40,44	52,46	89,35	52,86	36,65	91,03	90,26	101,08	54,29	32,06	34,91	101,27	91,83	30,65	21,30	161,43	30,52	230,31	69,34	119,86	135,18	43,81	206,99	132,43	303,86	26,29	132,14	70,10	127,77	49,38	156,64	123,20	162,30	59,91	73,83	115,24	55,17	38,56	48,06	102,20	132,30	44,86	149,18
RICS		XM_011543075.1		Endogenous	mRNA		93,75	false	30,33	4,39	20,03	28,25	11,16	24,22	40,44	36,87	21,61	30,00	36,22	31,95	24,90	27,82	21,72	43,37	29,09	36,17	26,47	60,63	19,52	26,13	37,30	26,95	20,80	33,10	45,72	26,71	30,08	111,24	27,62	31,07	90,10	14,02	60,95	37,99	31,06	26,91	14,18	16,78	3,46	21,28	13,79	12,85	10,12	15,52	42,80	22,43	30,24
RMI2		NM_152308.1		Endogenous	mRNA		91,67	false	37,82	4,39	15,88	26,02	35,67	56,52	57,77	51,75	81,76	28,57	21,56	54,96	31,90	26,89	72,75	32,06	7,94	34,50	24,82	10,66	44,37	31,58	3,16	55,74	24,96	15,98	23,86	20,30	72,53	27,81	14,47	31,07	34,54	52,58	21,10	70,28	60,76	19,83	15,76	31,15	3,46	19,50	35,86	65,87	91,06	71,15	21,40	72,10	86,68
RNF24		NM_007219.2		Endogenous	mRNA		95,83	false	38,17	98,51	46,96	73,60	11,16	54,09	57,77	27,65	19,27	38,57	31,90	34,35	35,02	36,17	35,83	16,97	71,27	62,32	43,85	15,33	8,87	37,82	74,60	50,84	41,60	45,66	37,77	27,78	14,15	58,27	74,98	4,53	58,56	19,28	33,99	20,89	29,71	41,07	33,09	43,14	23,32	44,32	41,38	8,03	40,47	21,99	27,24	32,05	26,21
RPA1		NM_002945.3		Endogenous	mRNA		95,83	false	119,25	4,39	73,21	57,25	11,16	58,94	115,55	65,22	66,57	64,29	60,36	150,46	80,93	180,84	133,02	64,11	72,72	161,93	78,59	97,28	228,97	203,93	44,08	110,25	48,54	105,02	145,12	65,18	222,91	152,30	135,49	248,58	120,13	157,73	76,19	115,86	148,53	141,61	61,45	256,43	159,32	141,84	176,54	125,32	135,32	155,24	85,61	208,29	151,19
RRM2		NM_001034.4		Endogenous	mRNA		100,00	false	401,05	98,51	116,03	191,44	85,06	176,01	92,44	189,29	427,48	128,58	229,80	170,72	77,04	102,94	1005,50	141,42	20,36	180,84	195,24	7,33	195,25	234,35	54,25	511,46	296,78	215,75	417,47	741,57	2715,62	373,46	244,67	313,11	385,91	1279,33	412,62	332,38	515,82	192,59	308,84	606,32	415,79	122,34	529,63	734,26	1006,71	1228,97	501,97	322,06	405,20
RUNX1		NM_001001890.2		Endogenous	mRNA		100,00	false	494,73	591,09	731,39	580,64	156,39	358,48	28,89	474,30	399,45	1202,90	370,78	154,24	349,38	328,29	469,09	652,43	1039,96	711,69	747,86	438,44	172,17	240,97	871,44	352,82	488,16	922,35	1045,66	283,17	208,76	254,27	409,09	406,33	264,28	459,16	736,15	245,01	371,33	825,57	247,39	752,51	952,03	363,46	391,70	432,20	461,62	426,90	770,46	235,53	370,93
RUVBL2		NM_006666.3		Endogenous	mRNA		100,00	false	182,62	256,14	146,42	114,49	235,96	286,62	121,32	136,12	127,89	134,29	184,10	142,90	161,07	214,23	212,83	148,97	143,99	99,60	207,65	90,62	346,12	100,60	91,55	170,90	271,82	84,47	157,05	484,05	88,46	98,00	134,17	308,33	102,11	208,55	212,17	368,47	124,23	120,37	155,99	230,07	151,55	171,98	173,78	130,14	194,77	183,70	204,29	387,75	145,15
SAMSN1		NM_001256370.1		Endogenous	mRNA		83,33	false	63,70	4,39	149,87	11,42	11,16	13,12	3,01	56,01	30,95	68,57	24,57	19,92	17,12	14,09	86,32	24,51	49,45	43,40	87,69	5,88	7,10	28,46	57,64	45,94	22,19	74,20	91,45	5,34	97,30	26,49	119,70	38,24	19,52	94,64	113,70	32,29	114,78	72,22	59,88	6,64	567,33	23,05	154,47	40,17	93,59	64,68	107,01	59,28	98,78
